DECK_COUNT,GAMMA,BATCH_SIZE,LEARNING_RATE,EPS_START,EPS_DECAY,EPS_MIN,MIN_BET,MAX_BET,INITIAL_BANKROLL,MEMORY_SIZE,AverageReward,HardAcc,SoftAcc,PairsAcc,OverallAcc
6,0.9,64,0.0001,1.0,0.99,0.01,1,50,1000,20000,-0.137,,,,
6,0.9,64,0.0001,1.0,0.99,0.01,1,50,1000,50000,-0.085,,,,
6,0.9,64,0.0001,1.0,0.99,0.001,1,50,1000,1000,-0.1215,,,,
6,0.9,64,0.0001,1.0,0.99,0.001,1,50,1000,20000,-0.1115,,,,
6,0.9,64,0.0001,1.0,0.99,0.001,1,50,1000,50000,-0.155,,,,
6,0.9,64,0.0001,1.0,0.995,0.01,1,50,1000,1000,-0.118,,,,
6,0.9,64,0.0001,1.0,0.995,0.01,1,50,1000,20000,-0.104,,,,
6,0.9,64,0.0001,1.0,0.995,0.01,1,50,1000,50000,-0.124,,,,
6,0.9,64,0.0001,1.0,0.995,0.001,1,50,1000,1000,-0.119,,,,
6,0.9,64,0.0001,1.0,0.995,0.001,1,50,1000,20000,-0.0895,,,,
6,0.9,64,0.0001,1.0,0.995,0.001,1,50,1000,50000,-0.0785,,,,
6,0.9,64,0.0001,0.5,0.98,0.01,1,50,1000,1000,-0.0935,,,,
6,0.9,64,0.0001,0.5,0.98,0.01,1,50,1000,20000,-0.1015,,,,
